ClusterId,ClusterName,CTV3Code,Description
AFIBPCAPU,Codes for atrial fibrillation quality indicator care unsuitable for patient,XaLFi,Except from atr fib quality indicators: Patient unsuitable
AFIBRES,Atrial fibrillation resolved codes,XaLFz,Atrial fibrillation resolved
AIIDEC,Codes indicating the patient has chosen not to receive angiotensin II receptor blockers (ARB),XaIyw,Angiotensin II receptor antagonist declined
ALC,Alcohol consumption codes,136..,Alcohol intake
ALC,Alcohol consumption codes,1361.,Teetotaller
ALC,Alcohol consumption codes,1363.,Light drinker - 1-2u/day
ALC,Alcohol consumption codes,1364.,Moderate drinker - 3-6u/day
ALC,Alcohol consumption codes,1365.,Heavy drinker - 7-9u/day
ALC,Alcohol consumption codes,1366.,Very heavy drinker - greater than 9 units/day
ALC,Alcohol consumption codes,1367.,Stopped drinking alcohol
ALC,Alcohol consumption codes,136A.,Ex-trivial drinker - less than 1 unit/day
ALC,Alcohol consumption codes,136B.,Ex-light drinker - (1-2u/day)
ALC,Alcohol consumption codes,136C.,Ex-moderate drinker - (3-6u/d)
ALC,Alcohol consumption codes,136D.,Ex-heavy drinker - (7-9u/day)
ALC,Alcohol consumption codes,136E.,Ex-very heavy drinker - greater than 9 units/day
ALC,Alcohol consumption codes,136F.,Spirit drinker
ALC,Alcohol consumption codes,136G.,Beer drinker
ALC,Alcohol consumption codes,136H.,Drinks beer and spirits
ALC,Alcohol consumption codes,136I.,Drinks wine
ALC,Alcohol consumption codes,136J.,Social drinker
ALC,Alcohol consumption codes,136K.,Alcohol intake above recommended sensible limits
ALC,Alcohol consumption codes,136L.,Alcohol intake within recommended sensible limits
ALC,Alcohol consumption codes,136M.,Current non-drinker
ALC,Alcohol consumption codes,136Z.,Alcohol consumption NOS
ALC,Alcohol consumption codes,Ub0lH,Lifetime non-drinker
ALC,Alcohol consumption codes,Ub0lI,Ex-drinker
ALC,Alcohol consumption codes,Ub0lJ,Current drinker
ALC,Alcohol consumption codes,Ub0lL,Light drinker
ALC,Alcohol consumption codes,Ub0lM,Moderate drinker
ALC,Alcohol consumption codes,Ub0lN,Fairly heavy drinker
ALC,Alcohol consumption codes,Ub0lO,Heavy drinker
ALC,Alcohol consumption codes,Ub0lP,Very heavy drinker
ALC,Alcohol consumption codes,Ub0lR,Problem drinker
ALC,Alcohol consumption codes,Ub0ly,Binge drinker
ALC,Alcohol consumption codes,Ub0lz,Alcoholic binges exceeding sensible amounts
ALC,Alcohol consumption codes,Ub0m0,Alcoholic binges exceeding safe amounts
ALC,Alcohol consumption codes,Ub0m9,Drinking binge
ALC,Alcohol consumption codes,Ub172,alcohol units/day
ALC,Alcohol consumption codes,Ub173,Alcohol units per week
ALC,Alcohol consumption codes,Ub1tt,Beer intake
ALC,Alcohol consumption codes,Ub1tu,Wine intake
ALC,Alcohol consumption codes,Ub1tv,Spirits intake
ALC,Alcohol consumption codes,XE0of,Trivial drinker - <1u/day
ALC,Alcohol consumption codes,Xa3dY,Ex-problem drinker
ALC,Alcohol consumption codes,Xa7lt,Abstinent alcoholic
ALC,Alcohol consumption codes,XaBDY,[V] Alcohol use
ALC,Alcohol consumption codes,XaKvA,Hazardous alcohol use
ALC,Alcohol consumption codes,XaKvB,Harmful alcohol use
ALC,Alcohol consumption codes,XaPwt,Alcohol units consumed on heaviest drinking day
ALC,Alcohol consumption codes,XaXjd,Increasing risk drinking
ALC,Alcohol consumption codes,XaXje,Higher risk drinking
ALC,Alcohol consumption codes,XaXjf,Lower risk drinking
ALC,Alcohol consumption codes,XagKI,Alcohol units consumed per day
ALC,Alcohol consumption codes,XagKJ,Alcohol units consumed per week
ALCANXSCRN,ALC Anxiety screening codes,XaIwe,HAD scale: anxiety score
ALCANXSCRN,ALC Anxiety screening codes,XaKaZ,Depression anxiety stress scales anxiety score
ALCANXSCRN,ALC Anxiety screening codes,XaLDN,Patient health questionnaire (PHQ-9) score
ALCANXSCRN,ALC Anxiety screening codes,XaNkT,Generalised anxiety disorder 7 item score
ALCANXSCRN,ALC Anxiety screening codes,Xab9E,Anxiety screening
ALCANXSCRN,ALC Anxiety screening codes,Xab9F,Anxiety screening using questions
ALCANXSCRN,ALC Anxiety screening codes,Y1b97,Generalised anxiety disorder 7 item score
ALCANXSCRNDEC,ALC Anxiety screening declined codes,XaboP,Anxiety screening declined
ALCANXSCRNDEC,ALC Anxiety screening declined codes,Xabu5,GAD-7 (Generalized Anxiety Disorder 7) scale declined
ALCANXSCRNDEC,ALC Anxiety screening declined codes,XadFQ,Hospital Anxiety and Depression Scale declined
ALCANXSUPP,ALC Anxiety support and treatment codes,Ub0qs,Anxiety management training
ALCANXSUPP,ALC Anxiety support and treatment codes,XaECG,Anxiety counselling
ALCANXSUPP,ALC Anxiety support and treatment codes,Xab9G,Patient given advice about management of anxiety
ALCANXSUPP,ALC Anxiety support and treatment codes,Xaef0,Referral for psychological management of anxiety
ALCAUDIT,ALC Alcohol Use Disorders Identification Test (AUDIT) codes,XM0aD,Alcohol use disorders identification test
ALCAUDIT,ALC Alcohol Use Disorders Identification Test (AUDIT) codes,XaMwZ,Alcohol screen - AUDIT completed
ALCAUDITC,ALC Alcohol Use Disorder Identification Test Consumption (AUDIT C) codes,XaMwb,Alcohol screen - AUDIT C completed
ALCAUDITC,ALC Alcohol Use Disorder Identification Test Consumption (AUDIT C) codes,XaORP,Alcohol use disorder identificatn test consumptn questionnre
ALCBRINT,ALC Brief intervention for excessive alcohol consumption codes,XaPPv,Brief intervention for excessive alcohol consumptn completed
ALCBRINTDEC,ALC Brief intervention for excessive alcohol consumption declined codes,XaPty,Brief intervention for excessive alcohol consumptn declined
ALCDEPSCRN,ALC Depression screening codes,6891.,Depression screening
ALCDEPSCRN,ALC Depression screening codes,XM0d1,Edinburgh postnatal depression scale
ALCDEPSCRN,ALC Depression screening codes,XaIwf,HAD scale: depression score
ALCDEPSCRN,ALC Depression screening codes,XaLDN,Patient health questionnaire (PHQ-9) score
ALCDEPSCRN,ALC Depression screening codes,XaLIc,Depression screening using questions
ALCDEPSCRN,ALC Depression screening codes,XaLLG,Beck depression inventory second edition score
ALCDEPSCRN,ALC Depression screening codes,XaY4X,Assessment using Whooley depression screen
ALCDEPSCRN,ALC Depression screening codes,XaYuW,Depression intensity scale circles
ALCDEPSCRN,ALC Depression screening codes,Y1f88,Whooley depression screen score
ALCDEPSCRN,ALC Depression screening codes,ZV790,[V]Screening for depression
ALCDEPSCRNDEC,ALC Depression screening declined codes,XaIKH,Edinburgh postnatal depression scale declined
ALCDEPSCRNDEC,ALC Depression screening declined codes,XaMi4,Patient health questionnaire (PHQ-9) declined
ALCDEPSCRNDEC,ALC Depression screening declined codes,XaboQ,Depression screening declined
ALCDEPSCRNDEC,ALC Depression screening declined codes,XadFQ,Hospital Anxiety and Depression Scale declined
ALCDEPSUPP,ALC Depression support and treatment codes,XaItx,Depression management programme
ALCDEPSUPP,ALC Depression support and treatment codes,XaKEz,Patient given advice about management of depression
ALCEX,Alcohol consumption screening refused codes,XaNOA,Alcohol consumption screening test declined
ALCEX,Alcohol consumption screening refused codes,XaPKl,Alcohol assessment declined
ALCEX,Alcohol consumption screening refused codes,XaPty,Brief intervention for excessive alcohol consumptn declined
ALCEX,Alcohol consumption screening refused codes,XaX4S,Extended interven for excessive alcohol consumption declined
ALCEX,Alcohol consumption screening refused codes,XaZqd,Declines to state current alcohol consumption
ALCEX,Alcohol consumption screening refused codes,XabYP,Alcohol Use Disorders Identification Test declined
ALCEXINT,ALC Extended intervention for excessive alcohol consumption codes,XaPPy,Extended intervention for excessive alcohol consumptn complt
ALCEXINTDEC,ALC Extended intervention for excessive alcohol consumption declined codes,XaX4S,Extended interven for excessive alcohol consumption declined
ALCFAST,ALC Fast Alcohol Screening Test (FAST) codes,XaMwa,Alcohol screen - fast alcohol screening test completed
ALCFAST,ALC Fast Alcohol Screening Test (FAST) codes,XaNO9,FAST - Fast Alcohol Screening Test
ALCSCRNDEC,ALC Alcohol screening and assessment declined codes,XaNOA,Alcohol consumption screening test declined
ALCSCRNDEC,ALC Alcohol screening and assessment declined codes,XaPKl,Alcohol assessment declined
ALCSCRNDEC,ALC Alcohol screening and assessment declined codes,XabYP,Alcohol Use Disorders Identification Test declined
ALCSPADV,ALC Referral to specialist alcohol treatment service codes,XaORR,Referral to specialist alcohol treatment service
ALCSPADV,ALC Referral to specialist alcohol treatment service codes,Y1eff,Referral to alcohol misuse service
ALCSPADVDEC,ALC Referral to specialist alcohol treatment service declined codes,XaPwp,Declined referral to specialist alcohol treatment service
ALCSPADVDEC,ALC Referral to specialist alcohol treatment service declined codes,XaXkb,Referral to community alcohol team declined
AMPL,Left Foot Amputation Codes,SA63.,Traumatic bilateral amputation of foot with complication
AMPL,Left Foot Amputation Codes,SA76.,"Traumatic bilateral amputation of leg, without complication"
AMPL,Left Foot Amputation Codes,SA77.,Traumatic bilateral amputation of leg with complication
AMPL,Left Foot Amputation Codes,SR41.,Traumatic amputation of both feet
AMPL,Left Foot Amputation Codes,XaBLU,O/E - Amputated left leg
AMPL,Left Foot Amputation Codes,XaBLW,O/E - Amputated left above knee
AMPL,Left Foot Amputation Codes,XaBLY,O/E - Amputated left below knee
AMPR,Right Foot Amputation Codes,SA63.,Traumatic bilateral amputation of foot with complication
AMPR,Right Foot Amputation Codes,SA76.,"Traumatic bilateral amputation of leg, without complication"
AMPR,Right Foot Amputation Codes,SA77.,Traumatic bilateral amputation of leg with complication
AMPR,Right Foot Amputation Codes,SR41.,Traumatic amputation of both feet
AMPR,Right Foot Amputation Codes,XaBLT,O/E - Amputated right leg
AMPR,Right Foot Amputation Codes,XaBLV,O/E - Amputated right above knee
AMPR,Right Foot Amputation Codes,XaBLX,O/E - Amputated right below knee
ANG,Angina codes,G311.,(Angina:[cresc][unstabl][at rest])(preinfar syn)(imp infarc)
ANG,Angina codes,G311z,Preinfarction syndrome NOS
ANG,Angina codes,G31y0,Acute coronary insufficiency
ANG,Angina codes,G33..,Angina
ANG,Angina codes,G330.,Angina decubitus
ANG,Angina codes,G3300,Nocturnal angina
ANG,Angina codes,G330z,Angina decubitus NOS
ANG,Angina codes,G33z.,Angina pectoris NOS
ANG,Angina codes,G33z0,Status anginosus
ANG,Angina codes,G33z1,Stenocardia
ANG,Angina codes,G33z2,Syncope anginosa
ANG,Angina codes,G33z3,Exercise-induced angina
ANG,Angina codes,G33zz,Angina pectoris NOS
ANG,Angina codes,Gyu30,[X]Other forms of angina pectoris
ANG,Angina codes,X2007,Angina at rest
ANG,Angina codes,X2008,Stable angina
ANG,Angina codes,X2009,Unstable angina
ANG,Angina codes,X200A,New onset angina
ANG,Angina codes,XE0Ui,Worsening angina
ANG,Angina codes,Xa7nH,Exercise-induced angina
ANG,Angina codes,XaEXt,Post infarct angina
ANG,Angina codes,XaFsG,Refractory angina
APCR,Codes for Alubumin:Creatinine & Protein:Creatinine Ratio for CKD,XE2n3,Urine albumin/creatinine ratio
APCR,Codes for Alubumin:Creatinine & Protein:Creatinine Ratio for CKD,XE2n4,Urine microalbumin/creatinine ratio
APCR,Codes for Alubumin:Creatinine & Protein:Creatinine Ratio for CKD,XaEMS,Urine protein/creatinine ratio
APCR,Codes for Alubumin:Creatinine & Protein:Creatinine Ratio for CKD,XabrL,Random urine protein:creatinine ratio
AST,Asthma diagnosis codes,173A.,Exercise-induced asthma
AST,Asthma diagnosis codes,663V0,Occasional asthma
AST,Asthma diagnosis codes,663V1,Mild asthma
AST,Asthma diagnosis codes,663V2,Moderate asthma
AST,Asthma diagnosis codes,663V3,Severe asthma
AST,Asthma diagnosis codes,H30..,Bronchitis: [unspecif (& chest infectn)] or [recurr wheezy]
AST,Asthma diagnosis codes,H3120,Chronic asthmatic bronchitis
AST,Asthma diagnosis codes,H33..,Asthma
AST,Asthma diagnosis codes,H3300,(Hay fever + asthma) or (extr asthma without status asthmat)
AST,Asthma diagnosis codes,H3301,Extrins asthma with: [asthma attack] or [status asthmaticus]
AST,Asthma diagnosis codes,H330z,Extrinsic asthma NOS
AST,Asthma diagnosis codes,H3310,Intrinsic asthma without status asthmaticus
AST,Asthma diagnosis codes,H3311,Intrins asthma with: [asthma attack] or [status asthmaticus]
AST,Asthma diagnosis codes,H331z,Intrinsic asthma NOS
AST,Asthma diagnosis codes,H332.,Mixed asthma
AST,Asthma diagnosis codes,H33z.,Asthma unspecified
AST,Asthma diagnosis codes,H33z0,(Severe asthma attack) or (status asthmaticus NOS)
AST,Asthma diagnosis codes,H33z1,Asthma attack (& NOS)
AST,Asthma diagnosis codes,H35y7,Wood pulp workers' lung
AST,Asthma diagnosis codes,H440.,Byssinosis
AST,Asthma diagnosis codes,H47y0,Detergent asthma
AST,Asthma diagnosis codes,Ua1AX,Brittle asthma
AST,Asthma diagnosis codes,X101k,Byssinosis grade 3
AST,Asthma diagnosis codes,X101t,Childhood asthma
AST,Asthma diagnosis codes,X101u,Late onset asthma
AST,Asthma diagnosis codes,X101x,Allergic asthma
AST,Asthma diagnosis codes,X101y,Extrinsic asthma with asthma attack
AST,Asthma diagnosis codes,X101z,Allergic asthma NEC
AST,Asthma diagnosis codes,X1020,Hay fever with asthma
AST,Asthma diagnosis codes,X1021,Allergic non-atopic asthma
AST,Asthma diagnosis codes,X1022,Intrinsic asthma with asthma attack
AST,Asthma diagnosis codes,X1023,Drug-induced asthma
AST,Asthma diagnosis codes,X1024,Aspirin-sensitive asthma with nasal polyps
AST,Asthma diagnosis codes,X1025,Occupational asthma
AST,Asthma diagnosis codes,X1026,Baker's asthma
AST,Asthma diagnosis codes,X1027,Colophony asthma
AST,Asthma diagnosis codes,X1028,Grain worker's asthma
AST,Asthma diagnosis codes,X1029,Sulphite-induced asthma
AST,Asthma diagnosis codes,X102B,Mill fever
AST,Asthma diagnosis codes,X102D,Status asthmaticus
AST,Asthma diagnosis codes,X102G,Asthmatic pulmonary eosinophilia
AST,Asthma diagnosis codes,XE0YQ,Allergic atopic asthma
AST,Asthma diagnosis codes,XE0YR,Extrinsic asthma without status asthmaticus
AST,Asthma diagnosis codes,XE0YS,Extrinsic asthma with status asthmaticus
AST,Asthma diagnosis codes,XE0YT,Non-allergic asthma
AST,Asthma diagnosis codes,XE0YU,Intrinsic asthma with status asthmaticus
AST,Asthma diagnosis codes,XE0YV,Status asthmaticus NOS
AST,Asthma diagnosis codes,XE0YW,Asthma attack
AST,Asthma diagnosis codes,XE0YX,Asthma NOS
AST,Asthma diagnosis codes,XM0s2,Asthma attack NOS
AST,Asthma diagnosis codes,Xa0lZ,Asthmatic bronchitis
AST,Asthma diagnosis codes,Xa1hD,Exacerbation of asthma
AST,Asthma diagnosis codes,Xa9zf,Acute asthma
AST,Asthma diagnosis codes,XaDvK,Asthma - currently active
AST,Asthma diagnosis codes,XaEKI,Flax-dressers' disease
AST,Asthma diagnosis codes,XaIoE,Asthma night-time symptoms
AST,Asthma diagnosis codes,XaIuG,Asthma confirmed
AST,Asthma diagnosis codes,XaJFG,Aspirin-induced asthma
AST,Asthma diagnosis codes,XaKdk,Work aggravated asthma
AST,Asthma diagnosis codes,XaLPE,Nocturnal asthma
AST,Asthma diagnosis codes,Xaa7B,Chronic asthma with fixed airflow obstruction
AST,Asthma diagnosis codes,Xac33,Asthma-chronic obstructive pulmonary disease overlap syndrom
AST,Asthma diagnosis codes,Xafdj,Acute severe exacerbation of asthma
AST,Asthma diagnosis codes,Xafdy,Moderate acute exacerbation of asthma
AST,Asthma diagnosis codes,Xafdz,Life threatening acute exacerbation of asthma
AST,Asthma diagnosis codes,Y1b24,Acute severe exacerbation of allergic asthma
AST2,Asthma diagnosis codes,173A.,Exercise-induced asthma
AST2,Asthma diagnosis codes,H3120,Chronic asthmatic bronchitis
AST2,Asthma diagnosis codes,H33..,Asthma
AST2,Asthma diagnosis codes,H330.,Asthma: [extrins - atop][allerg][pollen][childh][+ hay fev]
AST2,Asthma diagnosis codes,H3300,(Hay fever + asthma) or (extr asthma without status asthmat)
AST2,Asthma diagnosis codes,H3301,Extrins asthma with: [asthma attack] or [status asthmaticus]
AST2,Asthma diagnosis codes,H330z,Extrinsic asthma NOS
AST2,Asthma diagnosis codes,H331.,(Intrinsic asthma) or (late onset asthma)
AST2,Asthma diagnosis codes,H3310,Intrinsic asthma without status asthmaticus
AST2,Asthma diagnosis codes,H3311,Intrins asthma with: [asthma attack] or [status asthmaticus]
AST2,Asthma diagnosis codes,H331z,Intrinsic asthma NOS
AST2,Asthma diagnosis codes,H332.,Mixed asthma
AST2,Asthma diagnosis codes,H33z.,Asthma unspecified
AST2,Asthma diagnosis codes,H33z0,(Severe asthma attack) or (status asthmaticus NOS)
AST2,Asthma diagnosis codes,H33z1,Asthma attack (& NOS)
AST2,Asthma diagnosis codes,H33z2,Late onset asthma
AST2,Asthma diagnosis codes,H33zz,(Asthma:[exerc ind][allerg NEC][NOS]) or (allerg bronch NEC)
AST2,Asthma diagnosis codes,Ua1AX,Brittle asthma
AST2,Asthma diagnosis codes,X101t,Childhood asthma
AST2,Asthma diagnosis codes,X101u,Late onset asthma
AST2,Asthma diagnosis codes,X101x,Allergic asthma
AST2,Asthma diagnosis codes,X101y,Extrinsic asthma with asthma attack
AST2,Asthma diagnosis codes,X101z,Allergic asthma NEC
AST2,Asthma diagnosis codes,X1020,Hay fever with asthma
AST2,Asthma diagnosis codes,X1021,Allergic non-atopic asthma
AST2,Asthma diagnosis codes,X1022,Intrinsic asthma with asthma attack
AST2,Asthma diagnosis codes,X1024,Aspirin-sensitive asthma with nasal polyps
AST2,Asthma diagnosis codes,X102D,Status asthmaticus
AST2,Asthma diagnosis codes,XE0YQ,Allergic atopic asthma
AST2,Asthma diagnosis codes,XE0YR,Extrinsic asthma without status asthmaticus
AST2,Asthma diagnosis codes,XE0YS,Extrinsic asthma with status asthmaticus
AST2,Asthma diagnosis codes,XE0YT,Non-allergic asthma
AST2,Asthma diagnosis codes,XE0YU,Intrinsic asthma with status asthmaticus
AST2,Asthma diagnosis codes,XE0YV,Status asthmaticus NOS
AST2,Asthma diagnosis codes,XE0YW,Asthma attack
AST2,Asthma diagnosis codes,XE0YX,Asthma NOS
AST2,Asthma diagnosis codes,XE0ZP,Extrinsic asthma - atopy (& pollen)
AST2,Asthma diagnosis codes,XE0ZR,Asthma: [intrinsic] or [late onset]
AST2,Asthma diagnosis codes,XE0ZT,Asthma: [NOS] or [attack]
AST2,Asthma diagnosis codes,XM0s2,Asthma attack NOS
AST2,Asthma diagnosis codes,Xa0lZ,Asthmatic bronchitis
AST2,Asthma diagnosis codes,Xa9zf,Acute asthma
AST2,Asthma diagnosis codes,XaLPE,Nocturnal asthma
AST2,Asthma diagnosis codes,Xaa7B,Chronic asthma with fixed airflow obstruction
AST2,Asthma diagnosis codes,Xac33,Asthma-chronic obstructive pulmonary disease overlap syndrom
AST2,Asthma diagnosis codes,Xafdj,Acute severe exacerbation of asthma
AST2,Asthma diagnosis codes,Xafdy,Moderate acute exacerbation of asthma
AST2,Asthma diagnosis codes,Xafdz,Life threatening acute exacerbation of asthma
AST2,Asthma diagnosis codes,Y0017,Nocturnal Asthma
AST2,Asthma diagnosis codes,Y1b24,Acute severe exacerbation of allergic asthma
AST2,Asthma diagnosis codes,Y3022,Child has out grown asthma
ASTEXC,Asthma exception codes,9OJ2.,Refuses asthma monitoring
ASTEXC,Asthma exception codes,XaJ4W,Exception reporting: asthma quality indicators
ASTEXC,Asthma exception codes,XaJ4z,Excepted from asthma quality indicators: Patient unsuitable
ASTEXC,Asthma exception codes,XaJ50,Excepted from asthma quality indicators: Informed dissent
ASTEXC,Asthma exception codes,Y1f91,Excepted from asthma quality indicators - service unavailable (finding)
ASTINVITE,Invite for asthma care review codes,9OJ4.,Asthma monitoring call first letter
ASTINVITE,Invite for asthma care review codes,9OJ5.,Asthma monitoring call second letter
ASTINVITE,Invite for asthma care review codes,9OJ6.,Asthma monitoring call third letter
ASTINVITE,Invite for asthma care review codes,9OJ7.,Asthma monitoring call verbal invite
ASTINVITE,Invite for asthma care review codes,9OJ8.,Asthma monitoring call telephone invite
ASTINVITE,Invite for asthma care review codes,Xabiu,Asthma monitorng invit SMS (short message servce) txt messge
ASTINVITE,Invite for asthma care review codes,Xabj3,Asthma monitoring invitation email
ASTINVITE,Invite for asthma care review codes,XacLz,Asthma monitoring SMS text message 1st invitation
ASTINVITE,Invite for asthma care review codes,XacM0,Asthma monitoring SMS text message 2nd invitation
ASTINVITE,Invite for asthma care review codes,XacM1,Asthma monitoring SMS text message 3rd invitation
ASTINVITE,Invite for asthma care review codes,Y1f8f,Quality and Outcomes Framework quality indicator-related care invitation (procedure)
ASTINVITE,Invite for asthma care review codes,Y1f90,Quality and Outcomes Framework asthma quality indicator-related care invitation (procedure)
ASTMONDEC,Codes indicating the patient has chosen not to receive asthma monitoring,9OJ2.,Refuses asthma monitoring
ASTPCADEC,Codes indicating the patient has chosen not to receive asthma quality indicator care,XaJ50,Excepted from asthma quality indicators: Informed dissent
ASTPCAPU,Codes for asthma quality indicator care unsuitable for patient,XaJ4z,Excepted from asthma quality indicators: Patient unsuitable
ASTPCASU,Asthma quality indicator service unavailable codes,Y1f91,Excepted from asthma quality indicators - service unavailable (finding)
ASTRES,Asthma resolved codes,21262,Asthma resolved
ASTSPIR,Spirometry codes for Asthma,663J.,Airways obstruction reversible
ASTSPIR,Spirometry codes for Asthma,XaFrV,Spirometry reversibility
ASTSPIR,Spirometry codes for Asthma,XaFrX,Spirometry reversibility positive
ASTSPIR,Spirometry codes for Asthma,XaIUg,Positive reversibility test to salbutamol
ASTSPIR,Spirometry codes for Asthma,XaIUh,Positive reversibility test to ipratropium bromide
ASTSPIR,Spirometry codes for Asthma,XaIUj,Pos reversib test to combin of salbutamol + ipratropium br
ASTSPIR,Spirometry codes for Asthma,XaIUk,Positive reversibility test to corticosteroids
ASTSPIR,Spirometry codes for Asthma,XaXeg,Post bronchodilator spirometry
ASTTRTATRISK1,Asthma inhaled corticosteroids codes,c1D..,Salmeterol+fluticasone propionate
ASTTRTATRISK1,Asthma inhaled corticosteroids codes,c1D1.,Seretide 100 Accuhaler
ASTTRTATRISK1,Asthma inhaled corticosteroids codes,c1D2.,Seretide 250 Accuhaler
ASTTRTATRISK1,Asthma inhaled corticosteroids codes,c1D3.,Seretide 500 Accuhaler
ASTTRTATRISK1,Asthma inhaled corticosteroids codes,c1D4.,Seretide 50 Evohaler
ASTTRTATRISK1,Asthma inhaled corticosteroids codes,c1D5.,Seretide 125 Evohaler
ASTTRTATRISK1,Asthma inhaled corticosteroids codes,c1D6.,Seretide 250 Evohaler
ASTTRTATRISK1,Asthma inhaled corticosteroids codes,c1D7.,SIRDUPLA 25micrograms/125micrograms inhaler
ASTTRTATRISK1,Asthma inhaled corticosteroids codes,c1D8.,SIRDUPLA 25micrograms/250micrograms inhaler
ASTTRTATRISK1,Asthma inhaled corticosteroids codes,c1D9.,AIRFLUSAL FORSPIRO 50micrograms/500micrograms pdr inhaler
ASTTRTATRISK1,Asthma inhaled corticosteroids codes,c1Du.,Salmeterol+fluticasone propionate 25mcg/50mcg CFC-free inh
ASTTRTATRISK1,Asthma inhaled corticosteroids codes,c1Dv.,Salmeterol+fluticasone propionate 25mcg/125mcg CFC-free inh
ASTTRTATRISK1,Asthma inhaled corticosteroids codes,c1Dw.,Salmeterol+fluticasone propionate 25mcg/250mcg CFC-free inh
ASTTRTATRISK1,Asthma inhaled corticosteroids codes,c1Dx.,Salmeterol+fluticasone propionate 50mcg/100mcg b-act pdr inh
ASTTRTATRISK1,Asthma inhaled corticosteroids codes,c1Dy.,Salmeterol+fluticasone propionate 50mcg/250mcg b-act pdr inh
ASTTRTATRISK1,Asthma inhaled corticosteroids codes,c1Dz.,Salmeterol+fluticasone propionate 50mcg/500mcg b-act pdr inh
ASTTRTATRISK1,Asthma inhaled corticosteroids codes,c1c..,FLUTICASONE PROPIONATE+FORMOTEROL FUMARATE
